backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
/5IbE8joIeUUowIVC2TNsyAd0nFv.jpg,"[35, 18]",290,en,Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,17.31,/846d8FclibtOIoUW7PxpT0nCG4C.jpg,1991-08-01,Barton Fink,False,7.5,1561
/8kZT97Ml1ZyawrfHCajmP2b0wPC.jpg,"[27, 53]",11187,en,Child's Play 3,"Eight years have passed since the events of the second film. Chucky has been resurrected once again and seeks revenge on Andy, his former owner, who is now a teenager enrolled in military school.",33.748,/rHUOQShfzQTdE625cqwZoIOTvik.jpg,1991-08-30,Child's Play 3,False,5.9,1458
/t304VJkWOgxOciLjxkUmFo0wv4o.jpg,"[35, 878, 14]",892,fr,Delicatessen,"In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes.",17.457,/gNtOgQHxE5B8e08zuNRAdDpmK5Z.jpg,1991-04-17,Delicatessen,False,7.3,1332
/srPiSzLnWakuzYDaZ3NDkNsB1YO.jpg,"[10402, 18, 36]",10537,en,The Doors,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.",18.444,/x1LM3dzGuG6xOz0aT2e71o11vhu.jpg,1991-03-01,The Doors,False,7.1,1314
/sRZjzfBbBwRVI8oO5OtkaCYPFad.jpg,"[18, 53, 28, 80]",2924,en,Backdraft,Firemen brothers Brian and Stephen McCaffrey battle each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.,22.871,/bymJtYNIdiAiBR1LRetaJXbfryc.jpg,1991-05-24,Backdraft,False,6.6,1308
/jqFjgNnxpXIXWuPsyfqmcLXRo9p.jpg,"[80, 53]",500,en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",36.69,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,1992-09-02,Reservoir Dogs,False,8.1,13606
/deHMJAi10p2drYjnYi4IbSXpAqV.jpg,"[16, 10751, 12, 14, 10749]",812,en,Aladdin,"Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street urchin Aladdin. The couple falls in love, although Jasmine may only marry a prince. After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.",46.965,/eLFfl7vS8dkeG1hKp5mwbm37V83.jpg,1992-11-25,Aladdin,False,7.7,10737
/8fnYJPoXxwAN4valDLgz2whMGTH.jpg,"[35, 10751, 12]",772,en,Home Alone 2: Lost in New York,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",171.724,/uuitWHpJwxD1wruFl2nZHIb4UGN.jpg,1992-11-19,Home Alone 2: Lost in New York,False,6.7,9064
/3WP0RObZ2t7ShHfqQpKPljF9B22.jpg,"[28, 14]",364,en,Batman Returns,"While Batman deals with a deformed man calling himself the Penguin, an employee of a corrupt businessman transforms into the Catwoman.",28.344,/jKBjeXM7iBBV9UkUcOXx3m7FSHY.jpg,1992-06-19,Batman Returns,False,6.9,6124
/3aIBsxp6ozH3uDwb2IJCJxTS7LF.jpg,"[878, 28, 27]",8077,en,Alien³,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.",29.826,/xh5wI0UoW7DfS1IyLy3d2CgrCEP.jpg,1992-05-22,Alien³,False,6.4,5213
